Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  2.70      0.22     0.01  5719240     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_S_key(std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const*)
  2.70      0.23     0.01  5703727     0.00     0.00  std::_Select1st<std::pair<char const, int> >::operator()(std::pair<char const, int> const&) const
  2.70      0.24     0.01  3069983     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_S_right(std::_Rb_tree_node_base*)
  2.70      0.25     0.01  2099402     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  2.70      0.26     0.01  2098176     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator*() const
  2.70      0.27     0.01  1049160     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_begin()
  2.70      0.28     0.01  1049126     0.00     0.00  std::map<char, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::end()
  2.70      0.29     0.01  1049126     0.00     0.00  std::map<char, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::operator[](char const&)
  2.70      0.30     0.01  1049126     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_lower_bound(std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, std::_Rb_tree_node_base*, char const&)
  2.70      0.31     0.01  1049050     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::key_comp() const
  2.70      0.32     0.01  1048585     0.00     0.00  std::map<char, int, std::less<char>, std::allocator<std::pair<char const, int> > >::end()
  2.70      0.33     0.01  1048585     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<char const, int> > const&, std::_Rb_tree_iterator<std::pair<char const, int> > const&)
  2.70      0.34     0.01  1048568     0.00     0.00  std::map<char, int, std::less<char>, std::allocator<std::pair<char const, int> > >::operator[](char const&)
  2.70      0.35     0.01  1048568     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::lower_bound(char const&)
  2.70      0.36     0.01  1048568     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::_M_lower_bound(std::_Rb_tree_node<std::pair<char const, int> >*, std::_Rb_tree_node_base*, char const&)
  2.70      0.37     0.01  1048551     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator++()
  1.35      0.37     0.01  1048602     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::_M_begin()
  0.00      0.37     0.00  5719240     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_ptr() const
  0.00      0.37     0.00  5719240     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_addr() const
  0.00      0.37     0.00  5719240     0.00     0.00  std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_valptr() const
  0.00      0.37     0.00  5703727     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, int> >::_M_ptr() const
  0.00      0.37     0.00  5703727     0.00     0.00  std::_Rb_tree_node<std::pair<char const, int> >::_M_valptr() const
  0.00      0.37     0.00  4547791     0.00     0.00  serial::isLeaf(serial::MinHNode*)
  0.00      0.37     0.00  2929591     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::_S_right(std::_Rb_tree_node_base*)
  0.00      0.37     0.00  2648700     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.37     0.00  2099292     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_ptr()
  0.00      0.37     0.00  2099292     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_addr()
  0.00      0.37     0.00  2099292     0.00     0.00  std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_valptr()
  0.00      0.37     0.00  2098692     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, int> >::_M_ptr()
  0.00      0.37     0.00  2098692     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<char const, int> >::_M_addr()
  0.00      0.37     0.00  2098692     0.00     0.00  std::_Rb_tree_node<std::pair<char const, int> >::_M_valptr()
  0.00      0.37     0.00  2098320     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.37     0.00  2097576     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, int> >::operator*() const
  0.00      0.37     0.00  2097136     0.00     0.00  std::char_traits<char>::eq_int_type(int const&, int const&)
  0.00      0.37     0.00  2097136     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_S_is_eof(int)
  0.00      0.37     0.00  1050005     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_end()
  0.00      0.37     0.00  1049443     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::_M_end()
  0.00      0.37     0.00  1049143     0.00     0.00  std::operator==(std::_Rb_tree_iterator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::_Rb_tree_iterator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      0.37     0.00  1049126     0.00     0.00  std::map<char, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::lower_bound(char const&)
  0.00      0.37     0.00  1049126     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::lower_bound(char const&)
  0.00      0.37     0.00  1049126     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::end()
  0.00      0.37     0.00  1049050     0.00     0.00  std::map<char, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::key_comp() const
  0.00      0.37     0.00  1048585     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::end()
  0.00      0.37     0.00  1048568     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::_M_get() const
  0.00      0.37     0.00  1048568     0.00     0.00  std::istreambuf_iterator<char, std::char_traits<char> >::operator*() const
  0.00      0.37     0.00  1048568     0.00     0.00  std::char_traits<char>::to_char_type(int const&)
  0.00      0.37     0.00  1048568     0.00     0.00  std::char_traits<char>::eof()
  0.00      0.37     0.00  1048568     0.00     0.00  std::back_insert_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator=(char&&)
  0.00      0.37     0.00  1048568     0.00     0.00  std::back_insert_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator*()
  0.00      0.37     0.00  1048568     0.00     0.00  std::back_insert_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.37     0.00  1048568     0.00     0.00  std::map<char, int, std::less<char>, std::allocator<std::pair<char const, int> > >::lower_bound(char const&)
  0.00      0.37     0.00  1048568     0.00     0.00  std::remove_reference<char&>::type&& std::move<char&>(char&)
  0.00      0.37     0.00  1048450     0.00     0.00  std::map<char, int, std::less<char>, std::allocator<std::pair<char const, int> > >::key_comp() const
  0.00      0.37     0.00  1048450     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::key_comp() const
  0.00      0.37     0.00     5580     0.00     0.00  std::piecewise_construct_t const& std::forward<std::piecewise_construct_t const&>(std::remove_reference<std::piecewise_construct_t const&>::type&)
  0.00      0.37     0.00     5580     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      0.37     0.00     5580     0.00     0.00  std::tuple<char const&>&& std::forward<std::tuple<char const&> >(std::remove_reference<std::tuple<char const&> >::type&)
  0.00      0.37     0.00     3712     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00      0.37     0.00     3712     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.37     0.00     3712     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00      0.37     0.00     3712     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00      0.37     0.00     3712     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00      0.37     0.00     3695     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      0.37     0.00     3695     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*)
  0.00      0.37     0.00     3695     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      0.37     0.00     3695     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  0.00      0.37     0.00     3695     0.00     0.00  std::__cxx11::to_string(int)
  0.00      0.37     0.00     3146     0.00     0.00  serial::swapMinHNode(serial::MinHNode**, serial::MinHNode**)
  0.00      0.37     0.00     2232     0.00     0.00  std::_Head_base<0ul, char const&, false>::_M_head(std::_Head_base<0ul, char const&, false>&)
  0.00      0.37     0.00     2232     0.00     0.00  std::_Head_base<0ul, char const&, false>::_Head_base(char const&)
  0.00      0.37     0.00     2232     0.00     0.00  std::_Tuple_impl<0ul, char const&>::_M_head(std::_Tuple_impl<0ul, char const&>&)
  0.00      0.37     0.00     2232     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_get_Node_allocator()
  0.00      0.37     0.00     2232     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::_M_get_Node_allocator()
  0.00      0.37     0.00     2232     0.00     0.00  char const& std::forward<char const&>(std::remove_reference<char const&>::type&)
  0.00      0.37     0.00     2232     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.37     0.00     1628     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.37     0.00     1376     0.00     0.00  serial::minHeapify(serial::MinH*, int)
  0.00      0.37     0.00     1259     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.37     0.00     1227     0.00     0.00  std::_Rb_tree<char, std::pair<char const, int>, std::_Select1st<std::pair<char const, int> >, std::less<char>, std::allocator<std::pair<char const, int> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.37     0.00     1116     0.00     0.00  std::_Tuple_impl<0ul, char const&>::_Tuple_impl(std::_Tuple_impl<0ul, char const&>&&)
  0.00      0.37     0.00     1116     0.00     0.00  std::_Tuple_impl<0ul, char const&>::_Tuple_impl(char const&)
  0.00      0.37     0.00     1116     0.00     0.00  std::tuple<char const&>::tuple(std::tuple<char const&>&&)
  0.00      0.37     0.00     1116     0.00     0.00  std::tuple<char const&>::tuple<void, true>(char const&)
  0.00      0.37     0.00     1116     0.00     0.00  char const& std::__get_helper<0ul, char const&>(std::_Tuple_impl<0ul, char const&>&)
  0.00      0.37     0.00     1116     0.00     0.00  std::tuple_element<0ul, std::tuple<char const&> >::type& std::get<0ul, char const&>(std::tuple<char const&>&)
  0.00      0.37     0.00     1099     0.00     0.00  serial::extractMin(serial::MinH*)
  0.00      0.37     0.00     1099     0.00     0.00  serial::newNode(char, unsigned int)
  0.00      0.37     0.00      584     0.00     0.00  std::_Rb_tree<char, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::_Select1st<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::less<char>, std::allocator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::_M_leftmost()
  0.00      0.37     0.00      575     0.00     0.00  std::operator!=(std::_Rb_tree_iterator<std::pair<char const, int> > const&, std::_Rb_tree_iterator<std::pair<char const, int> > const&)
  0.00      0.37     0.00      570     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node_base* const&, std::_Rb_tree_node_base*&)
  0.00      0.37     0.00      558     0.00     0.00  serial::checkSizeOne(serial::MinH*)
  0.00      0.37     0.00      558     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::deallocate(std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, unsigned long)
  0.00      0.37     0.00      558     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::destroy<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*)
  0.00      0.37     0.00      558     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::allocate(unsigned long, void const*)
  0.00      0.37     0.00      558     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::construct<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::piecewise_construct_t const&, std::tuple<char const&>, std::tuple<> >(std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, std::piecewise_construct_t const&, std::tuple<char const&>&&, std::tuple<>&&)
  0.00      0.37     0.00      558     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, int> > >::deallocate(std::_Rb_tree_node<std::pair<char const, int> >*, unsigned long)
  0.00      0.37     0.00      558     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, int> > >::destroy<std::pair<char const, int> >(std::pair<char const, int>*)
  0.00      0.37     0.00      558     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, int> > >::allocate(unsigned long, void const*)
  0.00      0.37     0.00      558     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, int> > >::construct<std::pair<char const, int>, std::piecewise_construct_t const&, std::tuple<char const&>, std::tuple<> >(std::pair<char const, int>*, std::piecewise_construct_t const&, std::tuple<char const&>&&, std::tuple<>&&)
  0.00      0.37     0.00      558     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::max_size() const
  0.00      0.37     0.00      558     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<char const, int> > >::max_size() const
  0.00      0.37     0.00      558     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_const_cast() const
  0.00      0.37     0.00      558     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<char const, int> >::_M_const_cast() const
  0.00      0.37     0.00      558     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long) const
  0.00      0.37     0.00      558     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long) const
  0.00      0.37     0.00      558     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >&, std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >*, unsigned long)
  0.00      0.37     0.00      558     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::destroy<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >&, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*)
  0.00      0.37     0.00      558     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >&, unsigned long)
  0.00      0.37     0.00      558     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > >::construct<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::piecewise_construct_t const&, std::tuple<char const&>, std::tuple<> >(std::allocator<std::_Rb_tree_node<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >&, std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >*, std::piecewise_construct_t const&, std::tuple<char const&>&&, std::tuple<>&&)
  0.00      0.37     0.00      558     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, int> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<char const, int> > >&, std::_Rb_tree_node<std::pair<char const, int> >*, unsigned long)
  0.00      0.37     0.00      558     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, int> > > >::destroy<std::pair<char const, int> >(std::allocator<std::_Rb_tree_node<std::pair<char const, int> > >&, std::pair<char const, int>*)
  0.00      0.37     0.00      558     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, int> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<char const, int> > >&, unsigned long)
  0.00      0.37     0.00      558     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<char const, int> > > >::construct<std::pair<char const, int>, std::piecewise_construct_t const&, std::tuple<char const&>, std::tuple<> >(std::allocator<std::_Rb_tree_node<std::pair<char const, int> > >&, std::pair<char const, int>*, std::piecewise_construct_t const&, std::tuple<char const&>&&, std::tuple<>&&)
  0.00      0.37     0.00      558     0.00     0.00  std::_Rb_tree_iterator<std::pair<char const, int> >::operator++()
  0.00      0.37     0.00      558     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&)
  0.00      0.37     0.00      558     0.00     0.00  std::_Rb_tree_const_iterator<std::pair<char const, int> >::_Rb_tree_const_iterator(std::_Rb_tree_iterator<std::pair<char const, int> > const&)
  0.00      0.37     0.00      558     0.00     0.00  std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::pair<char const&>(std::piecewise_construct_t, std::tuple<char const&>, std::tuple<>)
  0.00      0.37     0.00      558     0.00     0.00  std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::pair<char const&, 0ul>(std::tuple<char const&>&, std::tuple<>&, std::_Index_tuple<0ul>, std::_Index_tuple<>)
  0.00      0.37     0.00      558     0.00     0.00  std::pair<char const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~pair()
  0.00      0.37     0.00      558     0.00     0.00  std::pair<char const, int>::pair<char const&>(std::piecewise_construct_t, std::tuple<char const&>, std::tuple<>)
  0.00      0.37     0.00      558     0.00     0.00  std::pair<char const, int>::pair<char const&, 0ul>(std::tuple<char const&>&, std::tuple<>&, std::_Index_tuple<0ul>, std::_Index_tuple<>)
  0.00      0.37     0.00      558     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
  0.00      0.37     0.00      558     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
